----NOTES----
2023.03.03.10.24.07
Sensor Selected: BPW34 Silicon PIN Photodiode
Probe Selected: White LED

----END NOTES----
----PARAMETERS----
Servo Start Position : 0.0
Servo End Position : 180.0
Delta : 10.0
Number of Data Points to Collect : 10.0
Movement Time : 10.0
Exposure Time : 10.0
----END PARAMETERS----
Pos   Av On Intensity   Av Off Intensity
5   5.35           4.65
10   4.75           5.20
15   6.85           5.90
20   5.50           6.25
25   8.35           5.45
30   6.10           5.20
35   5.55           5.00
40   8.15           5.95
45   6.90           5.25
50   6.25           5.80
55   6.25           5.45
60   6.65           5.90
65   7.90           6.50
70   7.95           6.50
75   8.35           6.20
80   7.75           7.05
85   7.15           6.45
90   8.60           6.70
95   6.80           7.30
100   7.15           6.55
105   6.80           6.85
110   6.40           6.70
115   7.05           6.85
120   7.55           5.80
125   7.85           7.40
130   8.95           7.15
135   8.95           6.10
140   7.30           7.10
145   7.40           6.70
150   8.05           6.65
155   7.20           7.60
160   8.95           7.70
165   9.35           6.50
170   8.75           7.00
175   9.45           7.40
180   8.45           6.55
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
